Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2020,Rockingham,NH,Passenger,1,0,1,22,23,4.35
December 31 2022,Lewis,WA,Passenger,268,182,450,59915,60365,0.75
October 31 2021,New Haven,CT,Passenger,0,2,2,32,34,5.88
May 31 2023,Montgomery,MD,Passenger,4,3,7,182,189,3.70
October 31 2021,Asotin,WA,Truck,0,0,0,6746,6746,0.00
July 31 2022,Penobscot,ME,Passenger,0,1,1,9,10,10.00
June 30 2021,Grant,WA,Passenger,107,89,196,66965,67161,0.29
September 30 2023,Grant,WA,Passenger,321,143,464,64950,65414,0.71
December 31 2017,Jefferson,WA,Passenger,121,74,195,24281,24476,0.80
February 28 2021,Honolulu,HI,Passenger,5,2,7,428,435,1.61
September 30 2022,Yakima,WA,Truck,3,0,3,61405,61408,0.00
August 31 2020,Clallam,WA,Passenger,239,171,410,49945,50355,0.81
May 31 2020,Riverside,CA,Passenger,3,1,4,623,627,0.64
September 30 2022,Santa Clara,CA,Passenger,11,2,13,208,221,5.88
July 31 2023,Grays Harbor,WA,Truck,9,0,9,20763,20772,0.04
November 30 2022,Pacific,WA,Truck,1,0,1,7849,7850,0.01
July 31 2022,Yavapai,AZ,Passenger,0,1,1,28,29,3.45
May 31 2019,Suffolk,MA,Passenger,0,1,1,40,41,2.44
December 31 2021,Suffolk,MA,Passenger,0,2,2,27,29,6.90
December 31 2021,Sumter,SC,Passenger,0,1,1,34,35,2.86
September 30 2018,Mercer,NJ,Passenger,0,1,1,20,21,4.76
September 30 2017,Thurston,WA,Truck,0,0,0,53501,53501,0.00
November 30 2020,,,Passenger,4,1,5,347,352,1.42
July 31 2018,Kent,MI,Passenger,0,1,1,28,29,3.45
March 31 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.70
August 31 2020,Stevens,WA,Passenger,35,36,71,30489,30560,0.23
March 31 2018,Dallas,TX,Passenger,0,1,1,191,192,0.52
November 30 2022,,,Passenger,2,1,3,268,271,1.11
April 30 2022,Charleston,SC,Passenger,2,1,3,67,70,4.29
July 31 2020,DuPage,IL,Passenger,3,0,3,61,64,4.69
December 31 2022,Virginia Beach,VA,Passenger,3,1,4,479,483,0.83
December 31 2018,Montgomery,TX,Passenger,2,0,2,63,65,3.08
February 28 2022,Prince George's,MD,Passenger,2,1,3,140,143,2.10
June 30 2017,Skamania,WA,Passenger,9,7,16,8566,8582,0.19
February 28 2018,Pacific,WA,Truck,0,0,0,7562,7562,0.00
May 31 2022,Williams,ND,Passenger,0,1,1,6,7,14.29
September 30 2023,Richmond,GA,Passenger,0,1,1,56,57,1.75
August 31 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
October 31 2020,Clallam,WA,Truck,1,0,1,21762,21763,0.00
July 31 2020,Boone,MO,Passenger,0,1,1,10,11,9.09
June 30 2023,Madison,IL,Passenger,1,0,1,14,15,6.67
August 31 2022,Wahkiakum,WA,Passenger,24,12,36,3078,3114,1.16
November 30 2022,Clark,WA,Truck,39,0,39,82044,82083,0.05
February 28 2023,Adams,CO,Passenger,1,0,1,32,33,3.03
January 31 2018,San Diego,CA,Passenger,6,1,7,2581,2588,0.27
February 28 2017,Montgomery,MD,Passenger,1,0,1,307,308,0.32
April 30 2020,Norfolk,VA,Passenger,2,2,4,348,352,1.14
September 30 2021,Stafford,VA,Passenger,2,1,3,97,100,3.00
January 31 2021,Lane,OR,Passenger,0,1,1,141,142,0.70
April 30 2022,Monterey,CA,Passenger,1,2,3,130,133,2.26
September 30 2020,Hudson,NJ,Passenger,1,0,1,41,42,2.38
April 30 2021,Calvert,MD,Passenger,0,2,2,88,90,2.22
September 30 2019,Jefferson,NY,Passenger,0,2,2,213,215,0.93
May 31 2020,Virginia Beach,VA,Passenger,1,0,1,680,681,0.15
December 31 2021,Douglas,NE,Passenger,1,2,3,50,53,5.66
June 30 2023,Las Animas,CO,Passenger,1,0,1,0,1,100.00
April 30 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
July 31 2018,Pierce,WA,Passenger,1262,1194,2456,533471,535927,0.46
February 28 2018,Prince George,VA,Passenger,0,1,1,75,76,1.32
February 28 2023,Riverside,CA,Passenger,7,0,7,390,397,1.76
February 28 2022,San Luis Obispo,CA,Passenger,1,0,1,60,61,1.64
April 30 2021,Putnam,TN,Passenger,0,1,1,1,2,50.00
December 31 2020,Orange,FL,Passenger,1,0,1,117,118,0.85
January 31 2021,Sacramento,CA,Passenger,2,0,2,242,244,0.82
December 31 2022,Miami-Dade,FL,Passenger,1,0,1,65,66,1.52
February 28 2023,Stevens,WA,Passenger,98,58,156,29974,30130,0.52
May 31 2022,Pacific,WA,Truck,0,0,0,7949,7949,0.00
May 31 2018,Adams,WA,Truck,0,0,0,5157,5157,0.00
July 31 2019,Broward,FL,Passenger,2,1,3,129,132,2.27
April 30 2021,Wichita,TX,Passenger,1,0,1,42,43,2.33
December 31 2019,Santa Clara,CA,Passenger,7,2,9,357,366,2.46
November 30 2017,Wahkiakum,WA,Passenger,0,2,2,2868,2870,0.07
May 31 2023,Cook,IL,Passenger,3,1,4,142,146,2.74
February 29 2020,Washtenaw,MI,Passenger,1,0,1,40,41,2.44
April 30 2018,Washtenaw,MI,Passenger,1,0,1,39,40,2.50
June 30 2021,Hamilton,IN,Passenger,2,0,2,34,36,5.56
June 30 2018,Caddo,LA,Passenger,0,1,1,23,24,4.17
November 30 2021,Lee,FL,Passenger,1,0,1,33,34,2.94
March 31 2017,Grant,WA,Passenger,17,21,38,60326,60364,0.06
June 30 2019,Klickitat,WA,Passenger,35,32,67,15555,15622,0.43
October 31 2021,Cook,IL,Passenger,2,0,2,203,205,0.98
January 31 2022,Alameda,CA,Passenger,5,0,5,212,217,2.30
