Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2023,Pend Oreille,WA,Truck,0,0,0,5582,5582,0.00
December 31 2019,Clay,FL,Passenger,0,1,1,85,86,1.16
February 28 2023,Philadelphia,PA,Passenger,1,0,1,37,38,2.63
March 31 2022,Washington,MD,Passenger,2,0,2,14,16,12.50
December 31 2022,Hamilton,OH,Passenger,1,0,1,29,30,3.33
October 31 2018,Jefferson,WA,Passenger,163,101,264,24780,25044,1.05
May 31 2020,Yakima,WA,Passenger,132,117,249,165011,165260,0.15
March 31 2019,Kittitas,WA,Truck,0,0,0,14248,14248,0.00
September 30 2023,Harnett,NC,Passenger,4,0,4,122,126,3.17
August 31 2019,Lake,IL,Passenger,1,0,1,170,171,0.58
October 31 2018,Rogers,OK,Passenger,1,0,1,6,7,14.29
July 31 2020,Clallam,WA,Passenger,237,169,406,50053,50459,0.80
June 30 2019,Island,WA,Passenger,317,241,558,63370,63928,0.87
November 30 2020,San Diego,CA,Passenger,15,4,19,2737,2756,0.69
February 28 2018,DuPage,IL,Passenger,1,0,1,68,69,1.45
January 31 2021,Travis,TX,Passenger,2,3,5,169,174,2.87
September 30 2020,Boulder,CO,Passenger,1,1,2,47,49,4.08
October 31 2019,King,WA,Passenger,21365,7391,28756,1396021,1424777,2.02
June 30 2018,Pend Oreille,WA,Passenger,5,5,10,9547,9557,0.10
May 31 2023,Escambia,FL,Passenger,0,1,1,118,119,0.84
July 31 2023,Carroll,MD,Passenger,0,1,1,18,19,5.26
April 30 2021,Miami-Dade,FL,Passenger,1,0,1,97,98,1.02
January 31 2017,Walla Walla,WA,Truck,0,0,0,13168,13168,0.00
February 28 2022,Williamson,TX,Passenger,1,2,3,88,91,3.30
February 28 2022,Placer,CA,Passenger,2,0,2,76,78,2.56
December 31 2021,Escambia,FL,Passenger,0,1,1,142,143,0.70
November 30 2021,Walla Walla,WA,Passenger,137,84,221,36392,36613,0.60
June 30 2018,Kittitas,WA,Passenger,47,32,79,28922,29001,0.27
September 30 2019,Kitsap,WA,Truck,1,0,1,54213,54214,0.00
June 30 2023,Saratoga,NY,Passenger,1,1,2,30,32,6.25
October 31 2021,Lee,FL,Passenger,1,0,1,37,38,2.63
April 30 2022,Orange,NC,Passenger,0,1,1,9,10,10.00
April 30 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
July 31 2021,Las Animas,CO,Passenger,1,0,1,0,1,100.00
November 30 2020,District of Columbia,DC,Passenger,3,1,4,200,204,1.96
December 31 2018,Clark,NV,Passenger,3,2,5,723,728,0.69
September 30 2020,Franklin,WA,Passenger,68,76,144,60923,61067,0.24
August 31 2019,Clark,WA,Passenger,1647,960,2607,315526,318133,0.82
July 31 2018,Douglas,WA,Truck,0,0,0,11972,11972,0.00
